site,ml,period,amp,per,phi,amp_p_value,per_p_value,phi_p_value
OSBS,top,13,-0.100258284,13.04020225,2.88597472,1.25E-53,0,2.12E-86
OSBS,top,14,0.03157022,14.0060142,-0.441566902,8.69E-07,0,0.346
WREF,10,5,-0.044872142,4.99251249,-0.975264954,3.75E-12,0,0.00206
WREF,10,6,0.047500799,5.999547554,1.023368148,2.53E-13,0,0.000569
WREF,10,7,0.060496137,7.003140511,0.805006608,1.03E-20,0,0.000572
WREF,10,8,-0.068825928,7.991884565,0.312980553,2.28E-26,0,0.128
WREF,10,9,-0.104310753,8.962702931,-1.626328373,3.95E-58,0,1.36E-33
WREF,10,10,-0.024901458,9.981440409,-0.895287756,0.000131,0,0.115
WREF,10,11,-0.024301428,10.99186974,-0.032932533,0.00019,0,0.954
WREF,10,12,0.096489719,11.97405591,-2.408700191,1.58E-50,0,3.09E-60
WREF,10,13,0.054890796,12.92177585,-8.055154475,3.17E-17,0,4.28E-216
WREF,10,14,-0.071456825,13.96344003,-1.562218793,2.59E-28,0,2.24E-15
